insects 	 Ocypus_olens 	 curated
insects 	 Omphaloscelis_lunosa 	 curated
insects 	 Orgyia_antiqua 	 curated
insects 	 Osmia_bicornis 	 curated
insects 	 Pammene_fasciana 	 curated
insects 	 Papilio_machaon 	 curated
insects 	 Parapoynx_stratiotata 	 curated
insects 	 Pararge_aegeria 	 curated
insects 	 Peribatodes_rhomboidaria 	 curated
insects 	 Phalera_bucephala 	 curated
insects 	 Phalera_bucephala 	 curated
insects 	 Pheosia_gnoma 	 curated
insects 	 Pheosia_tremula 	 curated
insects 	 Philereme_vetulata 	 curated
insects 	 Phlogophora_meticulosa 	 curated
insects 	 Phlogophora_meticulosa 	 curated
insects 	 Pieris_brassicae 	 curated
insects 	 Pieris_napi 	 curated
insects 	 Pieris_napi 	 curated
insects 	 Pieris_rapae 	 curated
insects 	 Pieris_rapae 	 curated
insects 	 Platycheirus_albimanus 	 curated
insects 	 Plebejus_argus 	 curated
insects 	 Pterostichus_madidus 	 curated
insects 	 Ptilodon_capucinus 	 curated
insects 	 Pyrgus_malvae 	 curated
insects 	 Pyrochroa_serraticornis 	 curated
insects 	 Rhagonycha_fulva 	 curated
insects 	 Sarcophaga_caerulescens 	 curated
insects 	 Scaeva_pyrastri 	 curated
insects 	 Schrankia_costaestrigalis 	 curated
insects 	 Seladonia_tumulorum 	 curated
insects 	 Selenia_dentaria 	 curated
insects 	 Sesia_apiformis 	 curated
insects 	 Sicus_ferrugineus 	 curated
insects 	 Sphecodes_monilicornis 	 curated
insects 	 Spilarctia_lutea 	 curated
insects 	 Spilosoma_lubricipeda 	 curated
insects 	 Synanthedon_vespiformis 	 curated
insects 	 Syritta_pipiens 	 curated
insects 	 Tachina_fera 	 curated
insects 	 Tenthredo_notha 	 curated
insects 	 Thecocarcelia_acutangulata 	 curated
insects 	 Thyatira_batis 	 curated
insects 	 Thyatira_batis 	 curated
insects 	 Thymelicus_sylvestris 	 curated
insects 	 Tinea_semifulvella 	 curated
insects 	 Tinea_trinotella 	 curated
insects 	 Vanessa_atalanta 	 curated
insects 	 Vanessa_atalanta 	 curated
insects 	 Vanessa_cardui 	 curated
insects 	 Vespa_crabro 	 curated
insects 	 Vespa_velutina 	 curated
insects 	 Vespula_germanica 	 curated
insects 	 Vespula_vulgaris 	 curated
insects 	 Volucella_inanis 	 curated
insects 	 Xanthogramma_pedissequum 	 curated
insects 	 Xestia_c-nigrum 	 curated
insects 	 Xestia_xanthographa 	 curated
insects 	 Xestia_xanthographa 	 curated
insects 	 Xylota_sylvarum 	 curated
insects 	 Ypsolopha_scabrella 	 curated
insects 	 Zeuzera_pyrina 	 curated
insects 	 Zygaena_filipendulae 	 curated
insects 	 Zygaena_filipendulae 	 curated
