dicots 	 Arabidopsis_thaliana 	 curated
dicots 	 Arabis_hirsuta 	 curated
dicots 	 Arctium_minus 	 curated
dicots 	 Astragalus_alpinus 	 curated
dicots 	 Astragalus_glycyphyllos 	 curated
dicots 	 Ballota_nigra 	 curated
dicots 	 Barbarea_vulgaris 	 curated
dicots 	 Berberis_vulgaris 	 curated
dicots 	 Brassica_nigra 	 curated
dicots 	 Buxus_sempervirens 	 curated
dicots 	 Calendula_officinalis 	 curated
dicots 	 Calluna_vulgaris 	 curated
dicots 	 Cardamine_flexuosa 	 curated
dicots 	 Chamaenerion_angustifolium 	 curated
dicots 	 Chenopodium_album 	 curated
dicots 	 Comarum_palustre 	 curated
dicots 	 Convolvulus_arvensis 	 curated
dicots 	 Cornus_suecica 	 curated
dicots 	 Crataegus_laevigata 	 curated
dicots 	 Cruciata_laevipes 	 curated
dicots 	 Draba_incana 	 curated
dicots 	 Draba_verna 	 curated
dicots 	 Dryas_octopetala 	 curated
dicots 	 Erodium_maritimum 	 curated
dicots 	 Euonymus_europaeus 	 curated
dicots 	 Euphorbia_lathyris 	 curated
dicots 	 Euphorbia_peplus 	 curated
dicots 	 Euphrasia_confusa 	 curated
dicots 	 Fagus_sylvatica 	 curated
dicots 	 Fallopia_convolvulus 	 curated
dicots 	 Filago_lutescens 	 curated
dicots 	 Filipendula_ulmaria 	 curated
dicots 	 Fragaria_moschata 	 curated
dicots 	 Fragaria_vesca 	 curated
dicots 	 Frangula_alnus 	 curated
dicots 	 Galeopsis_tetrahit 	 curated
dicots 	 Galium_aparine 	 curated
dicots 	 Geranium_rotundifolium 	 curated
dicots 	 Geum_rivale 	 curated
dicots 	 Geum_urbanum 	 curated
dicots 	 Gnaphalium_uliginosum 	 curated
dicots 	 Hedera_helix 	 curated
dicots 	 Hibiscus_tridactylites 	 curated
dicots 	 Humulus_lupulus 	 curated
dicots 	 Hydrocotyle_vulgaris 	 curated
dicots 	 Hypericum_androsaemum 	 curated
dicots 	 Hypericum_hirsutum 	 curated
dicots 	 Hypericum_pulchrum 	 curated
dicots 	 Ilex_aquifolium 	 curated
dicots 	 Impatiens_glandulifera 	 curated
dicots 	 Jasione_montana 	 curated
dicots 	 Lamium_amplexicaule 	 curated
dicots 	 Lathyrus_aphaca 	 curated
dicots 	 Lathyrus_linifolius 	 curated
dicots 	 Lepidium_didymum 	 curated
dicots 	 Ligustrum_vulgare 	 curated
dicots 	 Linaria_vulgaris 	 curated
dicots 	 Logfia_minima 	 curated
dicots 	 Lycopus_europaeus 	 curated
dicots 	 Malus_domestica 	 curated
dicots 	 Malus_sylvestris 	 curated
dicots 	 Malus_x_robusta 	 curated
dicots 	 Medicago_arabica 	 curated
dicots 	 Medicago_lupulina 	 curated
dicots 	 Mercurialis_annua 	 curated
dicots 	 Misopates_orontium 	 curated
dicots 	 Moehringia_trinervia 	 curated
dicots 	 Myrica_gale 	 curated
dicots 	 Nasturtium_officinale 	 curated
dicots 	 Oxyria_digyna 	 curated
dicots 	 Parietaria_judaica 	 curated
dicots 	 Pentaglottis_sempervirens 	 curated
dicots 	 Persicaria_maculosa 	 curated
dicots 	 Polygonum_aviculare 	 curated
dicots 	 Polygonum_maritimum 	 curated
dicots 	 Populus_nigra 	 curated
dicots 	 Populus_tremula 	 curated
dicots 	 Potentilla_anserina 	 curated
dicots 	 Potentilla_sterilis 	 curated
dicots 	 Primula_veris 	 curated
dicots 	 Primula_vulgaris 	 curated
dicots 	 Prunus_padus 	 curated
dicots 	 Pseudognaphalium_luteoalbum 	 curated
dicots 	 Pulicaria_dysenterica 	 curated
dicots 	 Pyrus_communis 	 curated
dicots 	 Quercus_cerris 	 curated
dicots 	 Quercus_petraea 	 curated
dicots 	 Quercus_robur 	 curated
dicots 	 Rosa_rugosa 	 curated
dicots 	 Rubus_caesius 	 curated
dicots 	 Salicornia_ramosissima 	 curated
dicots 	 Salix_caprea 	 curated
dicots 	 Sambucus_nigra 	 curated
dicots 	 Samolus_valerandi 	 curated
dicots 	 Scutellaria_galericulata 	 curated
dicots 	 Scutellaria_minor 	 curated
dicots 	 Senecio_squalidus 	 curated
dicots 	 Sherardia_arvensis 	 curated
dicots 	 Solanum_dulcamara 	 curated
dicots 	 Spergularia_bocconei 	 curated
dicots 	 Spergularia_marina 	 curated
dicots 	 Tamarix_gallica 	 curated
dicots 	 Tanacetum_parthenium 	 curated
dicots 	 Tragopogon_pratensis 	 curated
dicots 	 Trifolium_dubium 	 curated
dicots 	 Trifolium_fragiferum 	 curated
dicots 	 Trifolium_occidentale 	 curated
dicots 	 Trifolium_striatum 	 curated
dicots 	 Trifolium_subterraneum 	 curated
dicots 	 Ulmus_glabra 	 curated
dicots 	 Umbilicus_rupestris 	 curated
dicots 	 Urtica_dioica 	 curated
dicots 	 Urtica_urens 	 curated
dicots 	 Vaccinium_vitis_idaea 	 curated
dicots 	 Verbascum_thapsus 	 curated
dicots 	 Verbena_officinalis 	 curated
dicots 	 Veronica_arvensis 	 curated
dicots 	 Veronica_serpyllifolia 	 curated
dicots 	 Veronica_triphyllos 	 curated
dicots 	 Veronica_verna 	 curated
dicots 	 Vicia_sativa 	 curated
dicots 	 Viola_odorata 	 curated
dicots 	 Viscum_album 	 curated
monocots 	 Alisma_plantago_aquatica 	 curated
monocots 	 Bromus_sterilis 	 curated
monocots 	 Carex_arenaria 	 curated
monocots 	 Carex_depauperata 	 curated
monocots 	 Carex_divulsa 	 curated
monocots 	 Carex_laevigata 	 curated
monocots 	 Carex_pendula 	 curated
monocots 	 Carex_rostrata 	 curated
monocots 	 Carex_sylvatica 	 curated
monocots 	 Digitaria_sanguinalis 	 curated
monocots 	 Eleocharis_quinqueflora 	 curated
monocots 	 Iris_foetidissima 	 curated
monocots 	 Juncus_effusus 	 curated
monocots 	 Lemna_minuta 	 curated
monocots 	 Luzula_sylvatica 	 curated
monocots 	 Narthecium_ossifragum 	 curated
monocots 	 Phragmites_australis 	 curated
monocots 	 Schoenoplectus_lacustris 	 curated
monocots 	 Schoenoplectus_triqueter 	 curated
monocots 	 Triglochin_maritima 	 curated
monocots 	 Triglochin_palustris 	 curated
non-vascular-plants 	 Antitrichia_curtipendula 	 curated
non-vascular-plants 	 Bryoerythrophyllum_caledonicum 	 curated
non-vascular-plants 	 Climacium_dendroides 	 curated
non-vascular-plants 	 Isothecium_myosuroides 	 curated
non-vascular-plants 	 Lunularia_cruciata 	 curated
non-vascular-plants 	 Neckera_pumila 	 curated
non-vascular-plants 	 Polytrichum_commune 	 curated
non-vascular-plants 	 Polytrichum_formosum 	 curated
non-vascular-plants 	 Pseudoscleropodium_purum 	 curated
non-vascular-plants 	 Rhytidiadelphus_loreus 	 curated
non-vascular-plants 	 Sphagnum_contortum 	 curated
non-vascular-plants 	 Sphagnum_tenellum 	 curated
non-vascular-plants 	 Straminergon_stramineum 	 curated
non-vascular-plants 	 Thuidium_tamariscinum 	 curated
non-vascular-plants 	 Ulota_crispa 	 curated
dicots 	 Polygonum_aviculare 	 draft
dicots 	 Acaena_ovalifolia 	 draft
dicots 	 Acer_campestre 	 draft
dicots 	 Adonis_annua 	 draft
dicots 	 Agrostemma_githago 	 draft
dicots 	 Ailanthus_altissima 	 draft
dicots 	 Ajuga_chamaepitys 	 draft
dicots 	 Alnus_glutinosa 	 draft
dicots 	 Anagallis_arvensis 	 draft
dicots 	 Anthyllis_vulneraria 	 draft
dicots 	 Aquilegia_vulgaris 	 draft
dicots 	 Arabidopsis_thaliana 	 draft
dicots 	 Arabis_hirsuta 	 draft
dicots 	 Arctium_minus 	 draft
dicots 	 Arenaria_serpyllifolia 	 draft
dicots 	 Astragalus_alpinus 	 draft
dicots 	 Astragalus_glycyphyllos 	 draft
dicots 	 Ballota_nigra 	 draft
dicots 	 Barbarea_vulgaris 	 draft
dicots 	 Bellardia_viscosa 	 draft
dicots 	 Berberis_vulgaris 	 draft
dicots 	 Brassica_nigra 	 draft
dicots 	 Buddleja_davidii 	 draft
dicots 	 Buxus_sempervirens 	 draft
dicots 	 Calendula_officinalis 	 draft
dicots 	 Calluna_vulgaris 	 draft
dicots 	 Calystegia_soldanella 	 draft
dicots 	 Cardamine_flexuosa 	 draft
dicots 	 Cardamine_hirsuta 	 draft
dicots 	 Carduus_crispus 	 draft
dicots 	 Chamaenerion_angustifolium 	 draft
dicots 	 Chenopodium_album 	 draft
dicots 	 Comarum_palustre 	 draft
dicots 	 Convolvulus_arvensis 	 draft
dicots 	 Cornus_suecica 	 draft
dicots 	 Crataegus_laevigata 	 draft
dicots 	 Cruciata_laevipes 	 draft
dicots 	 Draba_incana 	 draft
dicots 	 Draba_verna 	 draft
dicots 	 Dryas_octopetala 	 draft
dicots 	 Erodium_maritimum 	 draft
dicots 	 Euonymus_europaeus 	 draft
dicots 	 Euphorbia_lathyris 	 draft
dicots 	 Euphorbia_peplus 	 draft
dicots 	 Euphrasia_confusa 	 draft
dicots 	 Fagus_sylvatica 	 draft
dicots 	 Fallopia_convolvulus 	 draft
dicots 	 Filago_lutescens 	 draft
dicots 	 Filipendula_ulmaria 	 draft
dicots 	 Fragaria_moschata 	 draft
dicots 	 Fragaria_vesca 	 draft
dicots 	 Frangula_alnus 	 draft
dicots 	 Galeopsis_tetrahit 	 draft
dicots 	 Galium_aparine 	 draft
dicots 	 Genista_pilosa 	 draft
dicots 	 Geranium_molle 	 draft
dicots 	 Geranium_rotundifolium 	 draft
dicots 	 Geum_rivale 	 draft
dicots 	 Geum_urbanum 	 draft
dicots 	 Gnaphalium_uliginosum 	 draft
dicots 	 Hedera_helix 	 draft
dicots 	 Hibiscus_tridactylites 	 draft
dicots 	 Humulus_lupulus 	 draft
dicots 	 Hydrocotyle_vulgaris 	 draft
dicots 	 Hypericum_androsaemum 	 draft
dicots 	 Hypericum_hirsutum 	 draft
dicots 	 Hypericum_perforatum 	 draft
dicots 	 Hypericum_pulchrum 	 draft
dicots 	 Ilex_aquifolium 	 draft
dicots 	 Impatiens_glandulifera 	 draft
dicots 	 Impatiens_noli_tangere 	 draft
dicots 	 Inula_conyza 	 draft
dicots 	 Jasione_montana 	 draft
dicots 	 Laburnum_anagyroides 	 draft
dicots 	 Lamium_amplexicaule 	 draft
dicots 	 Lathyrus_aphaca 	 draft
dicots 	 Lathyrus_linifolius 	 draft
dicots 	 Leontodon_hispidus 	 draft
dicots 	 Lepidium_didymum 	 draft
dicots 	 Ligustrum_vulgare 	 draft
dicots 	 Linaria_vulgaris 	 draft
dicots 	 Linum_bienne 	 draft
dicots 	 Logfia_minima 	 draft
dicots 	 Lycopus_europaeus 	 draft
dicots 	 Malus_domestica 	 draft
dicots 	 Malus_sylvestris 	 draft
dicots 	 Malus_x_robusta 	 draft
dicots 	 Matricaria_chamomilla 	 draft
dicots 	 Medicago_arabica 	 draft
dicots 	 Medicago_lupulina 	 draft
dicots 	 Melittis_melissophyllum 	 draft
dicots 	 Mercurialis_annua 	 draft
dicots 	 Misopates_orontium 	 draft
dicots 	 Moehringia_trinervia 	 draft
dicots 	 Myrica_gale 	 draft
dicots 	 Nasturtium_officinale 	 draft
dicots 	 Ononis_reclinata 	 draft
dicots 	 Oxyria_digyna 	 draft
dicots 	 Parietaria_judaica 	 draft
