Centaurea_nigra	daCenNigr1	891678158
Centaurium_erythraea	daCenEryt1	970626940
Centaurium_intermedium	daCenInte1	799197044
Centranthus_ruber	daCenRube1	540763596
Cerastium_alpinum	dcCerAlpi1	833285678
Cerastium_arvense	dcCerArve1	619983928
Cerastium_diffusum	dcCerDiff1	514672465
Cerastium_fontanum	dcCerFont2	32269790
Cerastium_fontanum	dcCerFont3	2243395914
Cerastium_glomeratum	dcCerGlom1	380055231
Cerastium_semidecandrum	dcCerSemi1	542478039
Cerastium_tomentosum	dcCerTome1	17590
Ceratocapnos_claviculata	dmCerClav1	279642257
Ceratophyllum_demersum	dmCerDeme1	510449511
Chaenorhinum_minus	daChaMinu2	433445726
Chaenorhinum_minus	daChaMinu3	438861323
Chaerophyllum_temulum	drChaTemu1	2167241220
Chamaemelum_nobile	daChaNobi1	4277989168
Chamaenerion_angustifolium	drChaAngu1	726939838
Chelidonium_majus	dmCheMaju1	1055659619
Chenopodium_album	dcCheAlbu1	877760056
Chrysosplenium_alternifolium	drChrAlte1	610635745
Cicerbita_alpina	daCicAlpi1	91944521
Cicerbita_macrophylla	daCicMacr1	98691486
Cicerbita_muralis	daCicMura1	19157136
Cichorium_intybus	daCicInty1	348388
Cicuta_virosa	drCicViro1	978036630
Circaea_lutetiana	drCirLute1	508714573
Cirsium_acaule	daCirAcau1	1230914507
Cirsium_arvense	daCirArve1	1351337085
Cirsium_dissectum	daCirDiss1	1197068929
Cirsium_eriophorum	daCirErio1	1701627374
Cirsium_heterophyllum	daCirHete1	923229218
Claytonia_perfoliata	dcClaPerf1	659263914
Claytonia_sibirica	dcClaSibi1	1650389664
Clematis_vitalba	dmCleVita1	8585674333
Clematis_viticella	dmCleVitc1	94346709
Clinopodium_vulgare	daCliVulg1	360231982
Cochlearia_danica	ddCocDani1	348762846
Cochlearia_officinalis	ddCocOffi1	139535304
Coincya_wrightii	ddCoiWrig1	872798121
Comarum_palustre	drComPalu1	567857435
Conium_maculatum	drConMacu1	360199844
Conopodium_majus	drConMaju1	762609812
Convolvulus_arvensis	daConArve2	1302664100
Cornus_suecica	drCorSuec1	249254
Cornus_suecica	drCorSuec2	980570953
Corylus_avellana	dhCorAvel1	353767055
Corylus_colurna	dhCorColu1	363119725
Cotoneaster_cambricus	drCotCamb1	541809320
Cotoneaster_horizontalis	drCotHori1	622842542
Cotoneaster_integrifolius	drCotIntg1	560353478
Crassula_helmsii	drCraHelm2	258256047
Crataegus_laevigata	drCraLaev2	724425315
Crataegus_monogyna	drCraMono1	693517263
Crepis_capillaris	daCreCapi1	1885256465
Crepis_paludosa	daCrePalu1	4081224582
Crepis_vesicaria	daCreVesi1	2468651668
Crithmum_maritimum	drCriMari1	851872767
Cruciata_laevipes	daCruLaev1	305405060
Cuscuta_epithymum	daCusEpit1	537167779
Cymbalaria_muralis	daCymMura1	558757165
Cynoglossum_officinale	daCynOffi1	825494109
Cytisus_scoparius	drCytScop1	425560606
Daboecia_cantabrica	ddDabCant1	366911118
Daphne_laureola	ddDapLaur1	1017695332
Daphne_mezereum	ddDapMeze1	1545395344
Dasiphora_fruticosa	drDasFrut1	241548745
Daucus_carota	drDauCaro2	484504038
Descurainia_sophia	ddDesSoph1	162214653
Dianthus_deltoides	dcDiaDelt1	393741085
Diapensia_lapponica	ddDiaLapp1	941057101
Digitalis_purpurea	daDigPurp3	855202214
Dipsacus_fullonum	daDipFull1	2909731336
Disphyma_crassifolium	dcDisCras1	1231124160
Doronicum_pardalianches	daDorPard1	1520521429
Draba_incana	ddDraInca1	324027827
Draba_verna	ddDraVern1	500791795
Drosera_anglica	dcDroAngl2	494176883
Drosera_anglica	dcDroAngl3	389260047
Drosera_rotundifolia	dcDroRotu3	1173425943
Dryas_octopetala	drDryOcto1	235161434
Echium_vulgare	daEchVulg1	717678589
Empetrum_nigrum	ddEmpNigr1	514430428
Epilobium_brunnescens	drEpiBrun2	309199648
Epilobium_ciliatum	drEpiCili1	321113129
Epilobium_hirsutum	drEpiHirs1	348090594
Epilobium_palustre	drEpiPalu1	331228248
Epilobium_palustre	drEpiPalu3	283731216
Eranthis_hyemalis	dmEraHyem1	11363926901
Erica_ciliaris	ddEriCili1	437181795
Erica_ciliaris	ddEriCili2	359660996
Erica_cinerea	ddEriCine1	359546526
Erica_mackaiana	ddEriMack1	456219644
Erica_tetralix	ddEriTetr1	421485800
Erigeron_borealis	daEriBore1	411642376
Erinus_alpinus	daEriAlpn1	66091088
Erodium_cicutarium	drEroCicu1	436195348
Erodium_maritimum	drEroMari1	170679874
Erodium_maritimum	drEroMari8	800368764
Erodium_moschatum	drEroMosc1	783240538
Eryngium_campestre	drEryCamp1	843790252
Eryngium_maritimum	drEryMari1	1118444190
Erythranthe_lutea	daEryLute1	672605234
Euonymus_europaeus	drEuoEuro1	440631021
Eupatorium_cannabinum	daEupCann1	2375981649
Euphorbia_amygdaloides	ddEupAmyg1	1267574591
Euphorbia_exigua	ddEupExig3	363637630
Euphorbia_helioscopia	ddEupHeli1	465245303
Euphorbia_hyberna	ddEupHybe1	1156184390
Euphorbia_lathyris	ddEupLath1	1230097672
Euphorbia_maculata	ddEupMacu1	773691187
Euphorbia_paralias	ddEupPara1	744683916
Euphorbia_peplus	ddEupPepu3	355397449
Euphrasia_confusa	daEupConf1	468631991
Euphrasia_foulaensis	daEupFoul1	17070625
Euphrasia_tetraquetra	daEupTetr2	203644082
Euphrasia_tetraquetra	daEupTetr3	975015627
Fagus_sylvatica	dhFagSylv1	474715980
Fallopia_baldschuanica	dcFalBald1	1306091734
Fallopia_convolvulus	dcFalConv1	672644452
Fallopia_sachalinensis	dcFalSach1	2228901078
Ficaria_verna	dmFicVern1	820707201
Filago_lutescens	daFilLute1	769810911
Filago_pyramidata	daFilPyra1	707098762
Filipendula_ulmaria	drFilUlma1	287967314
Filipendula_vulgaris	drFilVulg1	1363644708
Fragaria_moschata	drFraMosc1	113479576
Fragaria_vesca	drFraVesc1	240273088
Frangula_alnus	drFraAlnu1	314221642
Frankenia_laevis	dcFraLaev1	1208056006
Fraxinus_excelsior	daFraExce3	767696735
Fuchsia_magellanica	drFucMage1	1257376924
Fumaria_bastardii	dmFumBast1	336900727
Fumaria_densiflora	dmFumDens1	812549149
Fumaria_muralis	dmFumMura1	330214735
Fumaria_muralis	dmFumMura2	268713261
Fumaria_occidentalis	dmFumOcci1	13548112
Fumaria_purpurea	dmFumPurp1	224053560
Galatella_linosyris	daGalLino1	4450737760
Galega_officinalis	drGalOffi1	1856618767
Galeopsis_tetrahit	daGalTetr1	782731713
Galium_aparine	daGalApar1	528266355
Galium_odoratum	daGalOdor1	323724629
Galium_saxatile	daGalSaxa1	637024563
Galium_uliginosum	daGalUlig1	541596051
Galium_verum	daGalVeru1	729143953
Genista_anglica	drGenAngl1	745612200
Genista_pilosa	drGenPilo1	890584289
Genista_tinctoria	drGenTinc1	1670425144
Gentiana_pneumonanthe	daGenPneu1	167327138
Gentiana_verna	daGenVern1	978408032
Gentianella_amarella	daGenAmar1	1673486382
Gentianella_campestris	daGenCamp1	2410244728
Geranium_dissectum	drGerDiss1	288455021
Geranium_lucidum	drGerLuci1	353087008
Geranium_molle	drGerMoll1	490603567
Geranium_phaeum	drGerPhae1	1506926283
Geranium_pratense	drGerPrat1	2135501154
Geranium_pyrenaicum	drGerPyre1	572100164
Geranium_robertianum	drGerRobe1	585206203
Geranium_rotundifolium	drGerRotu1	503128722
Geranium_sanguineum	drGerSang1	2309486896
Geranium_sylvaticum	drGerSylv1	1920375270
Geum_rivale	drGeuRiva1	1067077523
Geum_urbanum	drGeuUrba1	652392134
Glaucium_flavum	dmGlaFlav1	974839773
Glaux_maritima	ddGlaMari2	1345187692
Glebionis_segetum	daGleSege1	3158047682
Glechoma_hederacea	daGleHede1	436209919
Gnaphalium_supinum	daGnaSupi1	1082386791
Gnaphalium_uliginosum	daGnaUlig1	368902909
Gunnera_manicata	drGunMani1	4592721161
Gunnera_tinctoria	drGunTinc1	8389869421
Halimione_portulacoides	dcHalPort1	589007577
Hedera_helix	drHedHeli13	1349288254
Hedera_helix	drHedHeli1	1308183064
Hedera_helix	drHedHeli4	174540627
Hedera_hibernica	drHedHibe1	1340059680
Helianthemum_apenninum	ddHelApen1	233918900
Helianthemum_oelandicum	ddHelOela1	1297908140
Helleborus_foetidus	dmHelFoet1	1680436546
Helleborus_viridis	dmHelViri1	5743902466
Helminthotheca_echioides	daHelEchi1	39182132
Helosciadium_nodiflorum	drHelNodi1	856298393
Heracleum_sphondylium	drHerSpho1	2137358122
Herniaria_ciliolata	dcHerCili1	1129675213
Hesperis_matronalis	ddHesMatr1	2026767099
Hibiscus_tridactylites	ddHibTrid2	1410068729
Hibiscus_trionum	ddHibTrio2	57214593
Hibiscus_trionum	ddHibTrio3	3384355
Hibiscus_verdcourtii	ddHibVerd5	1529307614
Hieracium_aggregatifolium	daHieAggr1	111080940
Hieracium_attenboroughianum	daHieAtte1	221566871
Hieracium_britannicum	daHieBrit1	3302695456
Hieracium_drummondii	daHieDrum1	160007376
Hieracium_radyrense	daHieRady1	387522422
Hieracium_richianum	daHieRich1	128530937
Hieracium_sabaudum	daHieSaba1	292968042
Hieracium_scullyi	daHieScul1	1235719137
Hieracium_snowdoniense	daHieSnow1	4864271779
Hieracium_sp_SM_2023a	daHieSpea1	1277223802
Hippophae_rhamnoides	drHipRham1	1221355119
Hippuris_vulgaris	daHipVulg1	551692022
Hippuris_vulgaris	daHipVulg2	1999286
